,idProd
1774,28795565
1775,28795624
1776,28795711
1777,28795568
1778,31703595
1779,31703419
1780,31703564
1781,31703408
1782,31703489
1783,31703436
1784,31703457
1785,31703628
1786,31703547
1787,31703561
1788,31703443
1789,31703557
1790,31703501
1791,31703672
1792,31703453
1793,31703644
1794,31703627
1795,31703413
1796,31703605
1797,31703632
1798,31703490
1799,31703483
1800,32721963
1801,32721943
1802,32721934
1803,32721933
1804,32721929
1805,32721923
1806,32722028
1807,32722020
1808,27909202
1809,27909082
1810,27909147
1811,27909373
1812,27909000
1813,27909136
1814,27909274
1815,27951922
1816,27951669
1817,27951923
1818,27951560
1819,27951891
1820,27951859
1821,27951853
1822,27951656
1823,27951952
1824,27951943
1825,27951783
1826,27997683
1827,27997646
1828,27997740
1829,27998052
1830,27998035
1831,27998015
1832,27997841
1833,27997989
1834,27997725
1835,27997760
1836,32680258
1837,32680513
1838,32680531
1839,32680685
1840,32680637
1841,32680629
1842,32680475
1843,32680577
1844,32680368
1845,32680448
1846,32680614
1847,32680458
1848,32680382
1849,32680557
1850,32680556
1851,32680492
1852,32680502
1853,27881798
1854,27881496
1855,27881465
1856,27881627
1857,27881597
1858,27881439
1859,27881553
1860,27881545
1861,27881944
1862,27881931
1863,27881906
1864,27896745
1865,27896879
1866,27896686
1867,27896669
1868,27896877
1869,27896655
1870,27896878
1871,27923215
1872,27923193
1873,27923237
1874,27923612
1875,31667772
1876,31667704
1877,28524380
1878,28524379
1879,28524378
1880,28524352
1881,28524346
1882,28524344
1883,28524338
1884,28524335
1885,28524337
1886,28524326
1887,28524353
1888,28524313
1889,28524377
1890,28524299
1891,28524298
1892,28524381
1893,28524385
1894,28524292
1895,28524291
1896,28524279
1897,28524278
1898,28524270
1899,28524267
1900,28524261
1901,28524258
1902,28524255
1903,28524248
1904,28524246
1905,28524244
1906,28524242
1907,28524241
1908,28524239
1909,28524236
1910,28395733
1911,28395743
1912,28395739
1913,28395735
1914,28396483
1915,28396479
1916,28396478
1917,28396361
1918,28396358
1919,28396341
1920,28396340
1921,28396331
1922,28396330
1923,28396329
1924,28396326
1925,28396314
1926,28396348
1927,28396300
1928,28396284
1929,28396282
1930,28396267
1931,28396457
1932,28396454
1933,28396452
1934,28396450
1935,28396418
1936,28396414
1937,28396412
1938,28396411
1939,28396460
1940,31202345
1941,31202340
1942,31202338
1943,31202337
1944,31203089
1945,31203090
1946,31203084
1947,31203088
1948,31203078
1949,31202949
1950,31202945
1951,31202943
1952,31203067
1953,31203065
1954,31203069
1955,31203058
1956,31203081
1957,31203087
1958,31203049
1959,31203047
1960,31203083
1961,31203046
1962,31202941
1963,31202940
1964,31203043
1965,31203042
1966,31203039
1967,31202936
1968,31202965
1969,31202931
1970,31203022
1971,31203019
1972,31202928
1973,31203017
1974,31203003
1975,31202990
1976,31202989
1977,31202985
1978,31202973
1979,31202979
1980,31202971
1981,31202970
1982,31203095
1983,31202966
1984,27877407
1985,27877121
1986,27877115
1987,27877113
1988,33192945
1989,33192957
1990,33192951
1991,33192966
1992,33192980
1993,33192969
1994,33192926
1995,33192985
1996,33193011
1997,33193017
1998,33193022
1999,33193030
2000,33193032
2001,27812737
2002,27812547
2003,27812597
2004,27812543
2005,27812703
2006,27812696
2007,27812593
2008,27812650
2009,27812649
2010,27812489
2011,27812473
2012,27814585
2013,27815052
2014,27815050
2015,27815033
2016,27815004
2017,27815157
2018,27815141
2019,27815086
2020,27815101
2021,27815175
2022,27815170
2023,27818961
2024,27819054
2025,27818995
2026,27819014
2027,31722865
2028,31724391
2029,31724389
2030,31724489
2031,31724484
2032,31724404
2033,28690221
2034,28690242
2035,28690219
2036,28694132
2037,28694130
2038,28694112
2039,28694117
2040,28694101
2041,28694091
2042,28694192
2043,28694163
2044,28694258
2045,28694150
2046,28694193
2047,28694155
2048,28694247
2049,28707150
2050,28706963
2051,28706965
2052,28707192
2053,28707019
2054,28706961
2055,28706928
2056,28706955
2057,28707105
2058,28707132
2059,28706911
2060,28707086
2061,28707196
2062,28707206
2063,28707194
2064,28707170
2065,28706896
2066,28706880
2067,28706837
2068,32735536
2069,32735521
2070,32735481
2071,32735465
2072,32735475
2073,32735460
2074,32735457
2075,32735471
2076,32735494
2077,32735444
2078,32735442
2079,32735441
2080,32735437
2081,32735436
2082,32735414
2083,32735409
2084,32735406
2085,32735547
2086,32735380
2087,32735358
2088,32735354
2089,32735375
2090,32735351
2091,32735345
2092,32735335
2093,32735332
2094,32735523
2095,32735311
2096,32735439
2097,32735325
2098,32735443
2099,32735548
2100,29251474
2101,29253621
2102,29253638
2103,29253542
2104,29234455
2105,28131720
2106,28131761
2107,28131836
2108,28131833
2109,28131828
2110,28131824
2111,28131725
2112,28131830
2113,28131753
2114,28131751
2115,28131750
2116,28146428
2117,28146422
2118,28146404
2119,28146390
2120,28146397
2121,28146385
2122,28146384
2123,28146358
2124,28146357
2125,28146437
2126,28146347
2127,28146328
2128,28146320
2129,28146307
2130,28146296
2131,28304962
2132,28305098
2133,28305097
2134,28305087
2135,28305086
2136,28305069
2137,28305062
